ROWNUM;name;adress;okrug;rayon;form_of_incorporation;submission;tip_uchrezhdeniya;vid_uchrezhdeniya;telephone;web_site;e_mail;X;Y;global_id;
136;"Государственное бюджетное образовательное учреждение города Москвы центр развития ребенка - детский сад № 215";"119454 г.Москва, ул. Лобачевского, д. 58";"Западный административный округ";"район Проспект Вернадского";"Государственное";"Западное окружное управление образования";"Дошкольное образовательное учреждение";"Центр развития ребенка – детский сад";"432-59-78";"crrds215.mskzapad.ru";"goucrr215@yandex.ru";"37,493237";"55,673734";"86887760";
137;"Государственное бюджетное образовательное учреждение города Москвы детский сад № 1510";"121614, г.Москва, Осенний бульвар, д. 16, корп. 5";"Западный административный округ";"район Крылатское";"Государственное";"Западное окружное управление образования";"Дошкольное образовательное учреждение";"Детский сад";"412-20-44";"ds1510.mskzapad.ru";"dou1510@mail.ru";"37,412077";"55,761283";"86887761";
138;"Государственное бюджетное образовательное учреждение города Москвы детский сад общеразвивающего вида № 1725";"119620, г.Москва, ул. Авиаторов, д. 18, корп. 2";"Западный административный округ";"район Солнцево";"Государственное";"Западное окружное управление образования";"Дошкольное образовательное учреждение";"Детский сад общеразвивающего вида с приоритетным осуществлением деятельности по одному из направлений развития детей";"934-71-80";"dsovp1725.mskzapad.ru";"detsad1725@rambler.ru";"37,406518";"55,640651";"86887762";
139;"Государственное бюджетное образовательное учреждение города Москвы детский сад № 2604";"119618, г.Москва, ул. Главмосстроя, д. 9, корп. 2";"Западный административный округ";"район Солнцево";"Государственное";"Западное окружное управление образования";"Дошкольное образовательное учреждение";"Детский сад";"(499)792-47-72";"ds2604.mskzapad.ru";"dou2604@mail.ru";"37,405003";"55,654749";"86887764";
140;"Государственное бюджетное образовательное учреждение города Москвы детский сад № 2605";"121552, г.Москва, ул. Оршанская, д. 12, корп. 2";"Западный административный округ";"район Кунцево";"Государственное";"Западное окружное управление образования";"Дошкольное образовательное учреждение";"Детский сад";"630-30-74";"ds2605.mskzapad.ru";"ds2605@mail.ru";"37,406672";"55,743155";"86887765";
141;"Государственное бюджетное образовательное учреждение города Москвы детский сад общеразвивающего вида № 1934";"121353, г.Москва, ул. Беловежская, д. 87";"Западный административный округ";"Можайский район";"Государственное";"Западное окружное управление образования";"Дошкольное образовательное учреждение";"Детский сад общеразвивающего вида с приоритетным осуществлением деятельности по одному из направлений развития детей";"(495) 446-02-25";"dsovp1934.mskobr.ru";"dou1934@MAIL.ru";"37,401158";"55,706269";"86887775";
142;"Государственное бюджетное образовательное учреждение города Москвы детский сад комбинированного вида № 1273";"117463, г.Москва, проезд Карамзина, дом 7, корпус 2";"Юго-Западный административный округ";"район Ясенево";"Государственное";"Юго-Западное окружное управление образования";"Дошкольное образовательное учреждение";"Детский сад комбинированного вида";"422-15-11";"http://dskvuz1273.mskobr.ru";"taped@rambler.ru";"37,537785";"55,592171";"86887778";
143;"Государственное бюджетное образовательное учреждение города Москвы детский сад компенсирующего вида № 4";"119333, г.Москва, Университетский проспект, дом 6, корп. 4";"Юго-Западный административный округ";"Гагаринский район";"Государственное";"Юго-Западное окружное управление образования";"Дошкольное образовательное учреждение";"Детский сад компенсирующего вида";"(499) 137-65-61";"http://dsuzp4.mskobr.ru/";"kdou4uz@mail.ru";"37,554757";"55,699807";"86887779";
144;"Государственное бюджетное образовательное учреждение города Москвы детский сад общеразвивающего вида № 2476";"119361 г.Москва, ул. Наташи Ковшовой, д. 15, корп. 1";"Западный административный округ";"район Очаково-Матвеевское";"Государственное";"Западное окружное управление образования";"Дошкольное образовательное учреждение";"Детский сад с этнокультурным (национальным) компонентом образования";"430-40-14";"ds2476.mskobr.ru";"ds2476@mail.ru";"37,451046";"55,68105";"86887780";
145;"Государственное бюджетное образовательное учреждение города Москвы детский сад № 2637";"121615, г.Москва, Рублевское шоссе, д. 18, корп. 2";"Западный административный округ";"район Кунцево";"Государственное";"Западное окружное управление образования";"Дошкольное образовательное учреждение";"Детский сад";"415-08-34";"ds2637.mskzapad.ru";"gou2637@mail.ru";"37,432814";"55,741588";"86887781";
146;"Негосударственное образовательное учреждение детский сад ""Малыш""";"";"Юго-Восточный административный округ";"район Печатники";"Негосударственное";"Негосударственное";"Дошкольное образовательное учреждение";"Детский сад";"(495) 356-09-21";"";"zhanna.lasoa2013@yandex.ru";"37,701034";"55,652188";"86887794";
147;"Частное Образовательное Учреждение ""Гулливер""";"115597, г.Москва, ул. Ясеневая, д.34, корп.3";"Южный административный округ";"район Орехово-Борисово Южное";"Негосударственное";"Негосударственное";"Дошкольное образовательное учреждение";"Детский сад";"(495) 398-53-71,(495) 398-10-54";"";"nougullier@mail.ru";"37,742926";"55,603998";"86887797";
148;"Негосударственное образовательное учреждение - детский сад ""Маленький гений""";"Москва, Балаклавский пр-т, д. 8";"Южный административный округ";"Нагорный район";"Негосударственное";"Негосударственное";"Дошкольное образовательное учреждение";"Детский сад";"(499) 610-97-10,(926) 111-46-40";"noudsgenius.mskobr.ru";"malenkiy_geniy@land.ru";"37,610759";"55,64275";"86887798";
149;"Государственное бюджетное образовательное учреждение города Москвы детский сад № 1137";"119526, г.Москва, ул. 26-ти Бакинских комиссаров, д. 10, к. 3";"Западный административный округ";"район Тропарёво-Никулино";"Государственное";"Западное окружное управление образования";"Дошкольное образовательное учреждение";"Детский сад";"(499) 739-56-24";"ds1137.mskzapad.ru/";"ds1137@mail.ru";"37,489714";"55,660568";"86890206";
150;"Негосударственное общеобразовательное учреждение Детский сад ""Развитие""";"";"Юго-Западный административный округ";"район Коньково";"Негосударственное";"Негосударственное";"Дошкольное образовательное учреждение";"Детский сад";"(495) 334-16-14";"";"";"37,540116";"55,644213";"86890208";
151;"Государственное бюджетное образовательное учреждение города Москвы детский сад № 2651";"111396, город Москва , улица Алексея Дикого, дом 7А";"Восточный административный округ";"район Новогиреево";"Государственное";"Восточное окружное управление образования";"Дошкольное образовательное учреждение";"Детский сад";"(499) 781-08-49; (499) 781-07-20";"ds2651.mskobr.ru";"dc2651@mail.ru";"37,812579";"55,748879";"86890214";
152;"Государственное бюджетное образовательное учреждение города Москвы детский сад № 1064";"109377, г. Москва, улица Академика Скрябина, дом 1, корп.2";"Юго-Восточный административный округ";"район Выхино-Жулебино";"Государственное";"Юго-Восточное окружное управление образования";"Дошкольное образовательное учреждение";"Детский сад";"(499) 796-50-21";"dsuv1064.mskobr.ru/";"dc1064@yandex.ru";"37,798403";"55,714635";"86890217";
153;"Государственное бюджетное образовательное учреждение города Москвы детский сад № 135";"121351, г.Москва, ул. Партизанская, д. 13, корп. 4";"Западный административный округ";"район Кунцево";"Государственное";"Западное окружное управление образования";"Дошкольное образовательное учреждение";"Детский сад";"416-12-07";"ds135new.mskzapad.ru";"detsadik135@yandex.ru";"37,408635";"55,731383";"86890221";
154;"Государственное бюджетное образовательное учреждение города Москвы детский сад № 2643";"119027 г. Москва, ул. Изваринская, д. 7, строение 2";"Западный административный округ";"район Внуково";"Государственное";"Западное окружное управление образования";"Дошкольное образовательное учреждение";"Детский сад";"736-24-48";"ds2643.mskzapad.ru";"goudetcad2643@mail.ru";"37,251162";"55,613484";"86890222";
155;"Государственное бюджетное образовательное учреждение города Москвы детский сад № 2638";"117624, г.Москва, ул. Изюмская, д. 35, корп. 1";"Юго-Западный административный округ";"район Южное Бутово";"Государственное";"Юго-Западное окружное управление образования";"Дошкольное образовательное учреждение";"Детский сад";"(499)793-93-18";"dsuz2638.mskobr.ru";"gou2638@mosuzedu.ru";"37,570083";"55,552249";"86890224";
156;"Государственное бюджетное образовательное учреждение города Москвы центр развития ребенка - детский сад № 2312 ""ОАЗИС""";"119330, г.Москва, Университетский проспект, д. 21, стр. 5";"Западный административный округ";"район Раменки";"Государственное";"Западное окружное управление образования";"Дошкольное образовательное учреждение";"Центр развития ребенка – детский сад";"143-15-16";"crrds2312.mskzapad.ru";"oazis2312@yandex.ru";"37,520566";"55,712797";"86890226";
157;"Государственное бюджетное образовательное учреждение города Москвы детский сад общеразвивающего вида № 672";"119501, г.Москва, ул. Матвеевская, д. 4, корп. 4";"Западный административный округ";"район Очаково-Матвеевское";"Государственное";"Западное окружное управление образования";"Дошкольное образовательное учреждение";"Детский сад общеразвивающего вида с приоритетным осуществлением деятельности по одному из направлений развития детей";"441-01-20";"dsovp672.mskzapad.ru";"dou672@mail.ru";"37,47228";"55,705682";"86890228";
158;"Государственное бюджетное образовательное учреждение города Москвы центр развития ребенка - детский сад № 463";"119 454 г.Москва, ул.Лобачевского, д. 56";"Западный административный округ";"район Проспект Вернадского";"Государственное";"Западное окружное управление образования";"Дошкольное образовательное учреждение";"Центр развития ребенка – детский сад";"431-77-12";"crrds463.mskzapad.ru";"crr463@mai.ru";"37,493351";"55,673736";"86890230";
159;"Государственное бюджетное образовательное учреждение города Москвы детский сад № 2652";"119634 г.Москва, ул. Лукинская, д. 16, корп. 2";"Западный административный округ";"район Ново-Переделкино";"Государственное";"Западное окружное управление образования";"Дошкольное образовательное учреждение";"Детский сад";"(499) 749-44-67";"ds2652.mskzapad.ru";"dou2652@mail.ru";"37,337507";"55,646301";"86890234";
160;"Государственное бюджетное образовательное учреждение города Москвы детский сад № 2653";"119634, г. Москва, ул. Лукинская, д. 14, корп. 2";"Западный административный округ";"район Ново-Переделкино";"Государственное";"Западное окружное управление образования";"Дошкольное образовательное учреждение";"Детский сад";"(499) 739-09-26";"ds2653.mskzapad.ru/";"dou2652@mail.ru";"37,339705";"55,647403";"86890235";
161;"Государственное бюджетное образовательное учреждение города Москвы детский сад комбинированного вида № 2571";"121352, г.Москвва, Славянский бульвар, д. 13, корп. 2";"Западный административный округ";"район Дорогомилово";"Государственное";"Западное окружное управление образования";"Дошкольное образовательное учреждение";"Детский сад комбинированного вида";"(499) 792-67-34";"dskv2571.mskzapad.ru";"dsad2571@inbox.ru";"37,464822";"55,725002";"86890236";
162;"Государственное бюджетное образовательное учреждение города Москвы детский сад № 2699";"119136, г.Москва, 2-й Сетуньский проезд, д. 12, корп. 2";"Западный административный округ";"район Раменки";"Государственное";"Западное окружное управление образования";"Дошкольное образовательное учреждение";"Детский сад";"(499) 240-84-29; (499) 240-81-62; (499) 240-84-92";"ds2699.mskzapad.ru";"ds2699@mail.ru";"37,535121";"55,7312";"86890246";
163;"Государственное бюджетное образовательное учреждение города Москвы детский сад № 2698";"119501 г.Москва, ул. Матвеевская, д. 4, корп. 5";"Западный административный округ";"район Очаково-Матвеевское";"Государственное";"Западное окружное управление образования";"Дошкольное образовательное учреждение";"Детский сад";"(499) 233-02-72";"ds2698.mskzapad.ru";"det2698@yandex.ru";"37,472798";"55,706284";"86890247";
164;"Государственное бюджетное образовательное учреждение города Москвы детский сад № 2696";"119192 г.Москва, Мичуринский проспект, д. 10";"Западный административный округ";"район Раменки";"Государственное";"Западное окружное управление образования";"Дошкольное образовательное учреждение";"Детский сад";"(499) 739-32-42; (499) 739-31-40; (499) 739-31-37; (499) 739-30-54";"ds2696.mskzapad.ru";"sad2696@mail.ru";"37,508478";"55,704619";"86890248";
165;"Государственное образовательное учреждение Детский сад №2674";"Плющева улица, 16А";"Восточный административный округ";"район Перово";"Государственное";"Восточное окружное управление образования";"Дошкольное образовательное учреждение";"Детский сад";"";"";"";"37,760739";"55,742311";"86890249";
166;"Государственное бюджетное образовательное учреждение города Москвы центр развития ребенка - детский сад № 26";"117534 г. Москва, ул.Кировоградская, 42а";"Южный административный округ";"район Чертаново Южное";"Государственное";"Южное окружное управление образования";"Дошкольное образовательное учреждение";"Детский сад общеразвивающего вида с приоритетным осуществлением деятельности по одному из направлений развития детей";"387-32-14";"crru26.mskobr.ru";"dou26@sinergi.ru";"37,595891";"55,60056";"86890250";
167;"Государственное бюджетное образовательное учреждение города Москвы Центр развития ребенка - детский сад № 2484 ""Жемчужинка""";"117042, г. Москва, улица Адмирала Лазарева, дом 61, корп.1";"Юго-Западный административный округ";"район Южное Бутово";"Государственное";"Юго-Западное окружное управление образования";"Дошкольное образовательное учреждение";"Центр развития ребенка – детский сад";"(499) 743-72-94";"";"";"37,508816";"55,537725";"86890251";
168;"Государственное бюджетное образовательное учреждение города Москвы центр развития ребенка - детский сад № 272";"119454, город Москва, Проспект Вернадского, дом 48";"Западный административный округ";"район Проспект Вернадского";"Государственное";"Западное окружное управление образования";"Дошкольное образовательное учреждение";"Центр развития ребенка – детский сад";"(499) 131-11-32";"crrds272.mskzapad.ru";"ds272sao@mail.ru";"37,496831";"55,675539";"86890254";
169;"Государственное бюджетное образовательное учреждение города Москвы детский сад компенсирующего вида № 2708";"117148, г. Москва, ул. Маршала Савицкого, дом 18, корп. 3";"Юго-Западный административный округ";"район Южное Бутово";"Государственное";"Юго-Западное окружное управление образования";"Дошкольное образовательное учреждение";"Детский сад компенсирующего вида";"(499)232-39-38";"dskvuz2708.mskobr.ru";"dou2708@mosuzedu.ru";"37,586389";"55,501594";"86890255";
170;"Государственное бюджетное образовательное учреждение города Москвы детский сад комбинированного вида № 2516";"119027, г.Москва, пос. Внуково, ул. Центральная, д. 11, корп. 1";"Западный административный округ";"район Внуково";"Государственное";"Западное окружное управление образования";"Дошкольное образовательное учреждение";"Детский сад комбинированного вида";"(495) 436-26-17; (495) 436-72-89; (495) 436-76-08";"dskv2516.mskzapad.ru/";"gou2516@ya.ru";"37,289846";"55,612446";"86890256";
171;"Государственное бюджетное образовательное учреждение города Москвы Центр развития ребенка - детский сад № 1786";"123022 г. Москва, Б. Трехгорный пер., д.8";"Центральный административный округ";"Пресненский район";"Государственное";"Центральное окружное управление образования";"Дошкольное образовательное учреждение";"Центр развития ребенка – детский сад";"(499) 256-29-39; (499) 256-28-20";"crrds1786.mskobr.ru";"1786ds@mail.ru";"37,542188";"55,757241";"86890257";
172;"Государственное бюджетное образовательное учреждение города Москвы детский сад комбинированного вида № 2612";"109125, г. Москва, Васильцовский переулок, дом 4";"Юго-Восточный административный округ";"Рязанский район";"Государственное";"Юго-Восточное окружное управление образования";"Дошкольное образовательное учреждение";"Детский сад комбинированного вида";"742-82-31";"dskuv2612.mskobr.ru";"detsad2612@yandex.ru";"37,749421";"55,715354";"86890258";
173;"Государственное бюджетное образовательное учреждение города Москвы детский сад комбинированного вида №2616";"111674, Москва, ул. Лухмановская,д. 13А";"Восточный административный округ";"район Косино-Ухтомский";"Государственное";"Восточное окружное управление образования";"Дошкольное образовательное учреждение";"Детский сад комбинированного вида";"(499) 797-41-07";"dskv2616.mskobr.ru";"ds2616@mail.ru";"37,89666";"55,720576";"86890259";
174;"Государственное бюджетное образовательное учреждение города Москвы Центр развития ребенка-детский сад № 516";"125047 г. Москва, 1-ая Миусская ул., д.18";"Центральный административный округ";"Тверской район";"Государственное";"Центральное окружное управление образования";"Дошкольное образовательное учреждение";"Центр развития ребенка – детский сад";"(499) 251-95-54";"crrds516.mskobr.ru";"GOU-516@yandex.ru";"37,595795";"55,780159";"86890260";
175;"Государственное бюджетное образовательное учреждение города Москвы Центр развития ребенка - детский сад № 2593";"115522 г. Москва.ул. Москворечье.д.4,к.4";"Южный административный округ";"район Москворечье-Сабурово";"Государственное";"Южное окружное управление образования";"Дошкольное образовательное учреждение";"Центр развития ребенка – детский сад";"(499) 725-23-70";"crru2593.mskobr.ru";"dou2593@sinergi.ru";"37,651721";"55,643175";"86890263";
176;"Государственное бюджетное образовательное учреждение города Москвы Центр развития ребенка - детский сад № 2374 ""Родничок""";"115580 г. Москва, Кустанайская д.14,к.2";"Южный административный округ";"район Зябликово";"Государственное";"Южное окружное управление образования";"Дошкольное образовательное учреждение";"Центр развития ребенка – детский сад";"396-01-85";"crru2374.mskobr.ru";"dou2374@sinergi.ru";"37,750809";"55,616258";"86890264";
177;"Государственное бюджетное образовательное учреждение города Москвы детский сад общеразвивающего вида № 2280";"105043, г.Москва, 5 Парковая ул., д. 5 а";"Восточный административный округ";"район Измайлово";"Государственное";"Восточное окружное управление образования";"Дошкольное образовательное учреждение";"Детский сад общеразвивающего вида с приоритетным осуществлением деятельности по одному из направлений развития детей";"(499) 367-77-36";"ds211.mskobr.ru";"detsad2280@qmail.com";"37,783371";"55,795931";"86890267";
178;"Государственное бюджетное образовательное учреждение города Москвы детский сад комбинированного вида № 9";"123423 г. Москва, Карамышевская набережная, д. 26, корп. 2";"Северо-Западный административный округ";"район Хорошёво-Мнёвники";"Государственное";"Северо-Западное окружное управление образования";"Дошкольное образовательное учреждение";"Детский сад комбинированного вида";"(499) 728-31-21";"dskv9.mskobr.ru";"dou9@szouo.ru";"37,490075";"55,774625";"86890271";
179;"Государственное бюджетное образовательное учреждение города Москвы детский сад № 1779";"109386, Москва, Краснодонская улица дом 1 корпус 2";"Юго-Восточный административный округ";"район Люблино";"Государственное";"Юго-Восточное окружное управление образования";"Дошкольное образовательное учреждение";"Детский сад";"350-51-29";"dsuv1779.mskobr.ru";"detsad.1779@yandex.ru";"37,755205";"55,68612";"86890274";
180;"Государственное бюджетное образовательное учреждение города Москвы детский сад общеразвивающего вида № 1614";"109382, г. Москва Краснодонская ул., д. 44";"Юго-Восточный административный округ";"район Люблино";"Государственное";"Юго-Восточное окружное управление образования";"Дошкольное образовательное учреждение";"Детский сад общеразвивающего вида с приоритетным осуществлением деятельности по одному из направлений развития детей";"351-92-94";"dsouv1614.mskobr.ru";"Sad1614@yandex.ru";"37,745637";"55,66761";"86890275";
181;"Государственное бюджетное образовательное учреждение города Москвы центр развития ребенка - детский сад № 2429 ""Теремок""";"125493, г. Москва, улица Пулковская, дом 4А";"Северный административный округ";"Головинский район";"Государственное";"Северное окружное управление образования";"Дошкольное образовательное учреждение";"Центр развития ребенка – детский сад";"(495) 708-03-09; (495) 708-02-06";"crrds2429.mskobr.ru";"gou-ds-2429@mail.ru";"37,48698";"55,844173";"86890277";
182;"Государственное бюджетное образовательное учреждение города Москвы Центр развития ребенка - детский сад № 716";"125080, г. Москва, улица Левитана, дом 3 А";"Северный административный округ";"район Сокол";"Государственное";"Северное окружное управление образования";"Дошкольное образовательное учреждение";"Центр развития ребенка – детский сад";"198-60-63";"crrds716.mskobr.ru";"info@gouds716.ru";"37,500387";"55,800804";"86890280";
183;"Государственное бюджетное образовательное учреждение города Москвы детский сад общеразвивающего вида № 1664";"127644, г. Москва улица Клязьминская, дом 9, корпус 5";"Северный административный округ";"Дмитровский район";"Государственное";"Северное окружное управление образования";"Дошкольное образовательное учреждение";"Детский сад общеразвивающего вида с приоритетным осуществлением деятельности по одному из направлений развития детей";"484-09-74";"dsovp1664.mskobr.ru";"ds1664@mail.ru";"37,525479";"55,890456";"86890281";
184;"Государственное бюджетное образовательное учреждение города Москвы центр развития ребенка - детский сад № 1958";"129346 город Москва, Анадырский проезд, дом 49 ,корпус 2";"Северо-Восточный административный округ";"Лосиноостровский район";"Государственное";"Северо-Восточное окружное управление образования";"Дошкольное образовательное учреждение";"Центр развития ребенка – детский сад";"(495) 474-25-22; (499) 184-87-11";"ds1958.mskobr.ru";"LOSINKA1958@rambler.ru";"37,704154";"55,885662";"86890283";
185;"Государственное бюджетное образовательное учреждение города Москвы Центр развития ребенка - детский сад № 208";"115191 г.Москва,Рощинский 4-й пр,д.5";"Южный административный округ";"Даниловский район";"Государственное";"Южное окружное управление образования";"Дошкольное образовательное учреждение";"Центр развития ребенка – детский сад";"(495) 952-35-63; (495) 958-60-53; (495) 633-19-26";"";"dou208@sinergi.ru";"37,61124";"55,710282";"86890289";
186;"Государственное бюджетное образовательное учреждение города Москвы центр развития ребенка - детский сад № 1607";"г. Москва, 117342,ул. Островитянова, д. 41А";"Юго-Западный административный округ";"район Коньково";"Государственное";"Юго-Западное окружное управление образования";"Дошкольное образовательное учреждение";"Центр развития ребенка – детский сад";"336-42-33";"http://crruz1607.mskobr.ru/";"gou1607@mosuzedu.ru";"37,534323";"55,632901";"86890302";
187;"Государственное бюджетное образовательное учреждение города Москвы детский сад № 2655";"127220, г. Москва, ул. Полтавская, дом 8";"Северный административный округ";"Савёловский район";"Государственное";"Северное окружное управление образования";"Дошкольное образовательное учреждение";"Детский сад";"(495)613-89-72";"ds2655.mskobr.ru";"2655ds@mail.ru";"37,574333";"55,796371";"86890303";
188;"Государственное бюджетное образовательное учреждение города Москвы Центр развития ребенка - детский сад № 2548";"123022,  г.Москва, Большая Декабрьская ул., д.1А";"Центральный административный округ";"Пресненский район";"Государственное";"Центральное окружное управление образования";"Дошкольное образовательное учреждение";"Центр развития ребенка – детский сад";"(499) 253-38-82; (499) 253-28-25";"crrds2548.mskobr.ru";"2548detsadik@mail.ru";"37,559057";"55,764951";"86890306";
189;"Государственное бюджетное образовательное учреждение города Москвы детский сад № 2713 ""Винни-Пух""";"123298, г. Москва, Тепличный переулок, д. 5, к.1";"Северо-Западный административный округ";"район Щукино";"Государственное";"Северо-Западное окружное управление образования";"Дошкольное образовательное учреждение";"Детский сад";"(499) 198-83-65";"ds2713mskobr.ru";"dou2713@szouo.ru";"37,495035";"55,790073";"86890307";
190;"Государственное бюджетное образовательное учреждение города Москвы центр развития ребенка - детский сад № 1320";"129164, город Москва, улица Кибальчича, дом 2, корпус 5";"Северо-Восточный административный округ";"Алексеевский район";"Государственное";"Северо-Восточное окружное управление образования";"Дошкольное образовательное учреждение";"Детский сад общеразвивающего вида с приоритетным осуществлением деятельности по одному из направлений развития детей";"682-32-60";"ds1309.mskobr.ru";"goucrrds1320@yandex.ru";"37,644689";"55,81543";"86890309";
191;"Государственное бюджетное образовательное учреждение города Москвы детский сад комбинированного вида № 2613";"105173,Москва,улица 9 Мая,дом 16,стр.1";"Восточный административный округ";"район Восточный";"Государственное";"Восточное окружное управление образования";"Дошкольное образовательное учреждение";"Детский сад комбинированного вида";"460-94-87";"ds2613.mskobr.ru";"gou2613@yandex.ru";"37,868494";"55,81738";"86890311";
192;"Государственное бюджетное образовательное учреждение города Москвы детский сад № 2694";"117335, г.Москва, улица Архитектора Власова, дом 11, корп.3";"Юго-Западный административный округ";"район Черёмушки";"Государственное";"Юго-Западное окружное управление образования";"Дошкольное образовательное учреждение";"Детский сад";"";"http://dsuz2694.mskobr.ru/";"dou2694@ou.mosuzedu.ru";"37,547562";"55,677015";"86890314";
193;"Государственное бюджетное образовательное учреждение города Москвы детский сад № 2660";"117418, г.Москва, ул. Цюрупы, д. 22А";"Юго-Западный административный округ";"район Черёмушки";"Государственное";"Юго-Западное окружное управление образования";"Дошкольное образовательное учреждение";"Детский сад";"(499) 128-65-07";"http://dsuz2660.mskobr.ru";"surkova2660@mail.ru";"37,569278";"55,668716";"86890320";
194;"Государственное бюджетное образовательное учреждение города Москвы Детский сад №14";"105264 5-я Парковая улица, д. 37";"Восточный административный округ";"район Измайлово";"Государственное";"Восточное окружное управление образования";"Дошкольное образовательное учреждение";"Детский сад";"(495) 485-26-16";"crrds14.mskobr.ru/";"";"37,786785";"55,800418";"86890323";
195;"Государственное бюджетное образовательное учреждение города Москвы детский сад № 1553";"127434, г. Москва, Красностуденческий проезд, дом 2 а";"Северный административный округ";"Тимирязевский район";"Государственное";"Северное окружное управление образования";"Дошкольное образовательное учреждение";"Детский сад";"(499) 977-80-92";"ds1458.mskobr.ru";"ds1553@yandex.ru";"37,569729";"55,825525";"86890326";
196;"Государственное бюджетное образовательное учреждение города Москвы детский сад № 2170";"129226, г.Москва, ул.Сельскохозяйственная, д.13";"Северо-Восточный административный округ";"район Ростокино";"Государственное";"Северо-Восточное окружное управление образования";"Дошкольное образовательное учреждение";"Детский сад";"(499) 181-15-74";"ds2170.mskobr.ru";"gbou2170@yandex.ru";"37,641821";"55,835261";"86890327";
197;"Государственное бюджетное образовательное учреждение города Москвы Центр развития ребенка - детский сад № 1787";"115409 г. Москва, Кантемировская ул. д. 20,к.3";"Южный административный округ";"район Москворечье-Сабурово";"Государственное";"Южное окружное управление образования";"Дошкольное образовательное учреждение";"Центр развития ребенка – детский сад";"323-08-44";"crru1787.mskobr.ru";"dou1787@sinergi.ru";"37,66119";"55,639905";"86890328";
198;"Государственное бюджетное образовательное учреждение города Москвы Центр развития ребенка - детский сад № 953";"115563 г. Москва, Борисовский пр, д.46 к.2";"Южный административный округ";"район Орехово-Борисово Северное";"Государственное";"Южное окружное управление образования";"Дошкольное образовательное учреждение";"Центр развития ребенка – детский сад";"(495) 394-23-00; (495) 393-16-36";"crru953.mskobr.ru";"dou953@sinergi.ru";"37,727586";"55,614444";"86890329";
